Date|Open|High|Low|Close|Volume
2010-01-01 00:00:00|53.75|56.8|47.6|56.48|10737438
2010-02-01 00:00:00|56.0|58.21|50.0|55.5|11892100
2010-03-01 00:00:00|55.95|68.53|53.58|68.01|34750532
2010-04-01 00:00:00|68.31|70.8|58.58|62.17|23496544
2010-05-01 00:00:00|62.53|63.13|53.01|57.1|13883573
2010-06-01 00:00:00|56.99|64.0|55.16|57.34|10643827
2010-07-01 00:00:00|57.77|64.13|54.3|60.68|11164996
2010-08-01 00:00:00|60.98|64.27|57.51|61.1|12651458
2010-09-01 00:00:00|60.65|70.0|60.65|66.63|18325455
2010-10-01 00:00:00|65.88|76.8|64.8|76.8|23682215
2010-11-01 00:00:00|76.46|82.9|74.02|80.0|19660864
2010-12-01 00:00:00|80.0|87.5|74.63|79.99|18695657
2011-01-01 00:00:00|79.75|82.52|74.63|77.7|14254070
2011-02-01 00:00:00|78.24|78.79|66.78|73.18|16637422
2011-03-01 00:00:00|73.3|78.6|71.37|73.16|45237500
2011-04-01 00:00:00|74.51|74.51|65.87|68.52|23431000
2011-05-01 00:00:00|68.53|74.16|63.96|72.77|19624600
2011-06-01 00:00:00|78.45|78.45|67.37|69.25|14413300
2011-07-01 00:00:00|69.14|74.94|68.12|70.08|10402800
2011-08-01 00:00:00|70.98|75.58|49.1|56.87|40624300
2011-09-01 00:00:00|57.0|60.81|45.51|52.25|38988000
2011-10-01 00:00:00|51.63|57.2|47.6|56.55|38152100
2011-11-01 00:00:00|56.05|56.78|48.8|50.33|40877100
2011-12-01 00:00:00|50.98|54.12|43.62|50.22|35255400
2012-01-01 00:00:00|51.0|53.55|48.5|50.01|15371100
2012-02-01 00:00:00|49.97|56.76|49.51|50.6|79730400
2012-03-01 00:00:00|50.5|50.82|44.05|47.58|42147000
2012-04-01 00:00:00|48.99|51.52|45.99|48.8|25164400
2012-05-01 00:00:00|48.92|49.39|38.0|43.9|25124000
2012-06-01 00:00:00|43.01|46.24|40.56|43.41|22230800
2012-07-01 00:00:00|44.4|44.93|41.25|41.78|16261400
2012-08-01 00:00:00|41.49|44.5|40.7|42.6|24629300
2012-09-01 00:00:00|44.0|46.59|42.18|43.45|19943800
2012-10-01 00:00:00|43.2|45.28|38.56|39.91|37998800
2012-11-01 00:00:00|40.3|47.49|39.5|42.86|30773300
2012-12-01 00:00:00|42.86|47.0|41.87|44.99|45080400
2013-01-01 00:00:00|45.77|54.29|44.75|53.55|66741500
2013-02-01 00:00:00|53.53|59.8|51.55|53.0|50549500
