Date|Open|High|Low|Close|Volume
2010-01-01 00:00:00|19.58|24.49|19.33|21.67|20040389
2010-02-01 00:00:00|21.67|24.24|20.5|23.7|12117570
2010-03-01 00:00:00|23.11|29.95|23.11|29.47|22376883
2010-04-01 00:00:00|29.68|37.2|28.8|36.47|21962059
2010-05-01 00:00:00|36.47|39.39|29.1|31.09|14589210
2010-06-01 00:00:00|30.73|31.19|25.7|26.8|9453169
2010-07-01 00:00:00|26.3|27.9|24.39|26.96|12785260
2010-08-01 00:00:00|27.2|28.48|24.45|25.39|6738263
2010-09-01 00:00:00|25.31|28.3|24.25|26.98|11913525
2010-10-01 00:00:00|27.09|28.69|25.65|26.33|9105892
2010-11-01 00:00:00|26.36|26.58|24.75|24.95|10226717
2010-12-01 00:00:00|25.3|25.52|24.53|24.6|3024652
2010-12-01 00:00:00|25.01|27.44|24.95|25.23|12525533
2011-01-01 00:00:00|24.85|27.42|21.05|25.5|14142849
2011-02-01 00:00:00|25.54|25.71|24.37|24.59|6010406
2011-03-01 00:00:00|24.65|24.85|20.69|20.8|6245100
2011-04-01 00:00:00|20.35|20.85|18.54|19.052|7713300
2011-05-01 00:00:00|19.071|19.1|17.65|18.672|3474300
2011-06-01 00:00:00|18.671|18.72|17.655|18.06|1408100
2011-07-01 00:00:00|17.924|19.84|17.679|17.8|2541400
2011-08-01 00:00:00|18.4|18.5|12.062|14.34|3600600
2011-09-01 00:00:00|14.361|14.382|10.141|12.2|2492700
2011-10-01 00:00:00|11.252|14.601|10.155|12.096|4257400
2011-11-01 00:00:00|11.999|12.39|10.4|11.1|1385100
2011-12-01 00:00:00|11.4|12.799|9.41|9.6|3057100
2012-01-01 00:00:00|9.586|10.614|9.586|10.261|2916600
2012-02-01 00:00:00|10.261|12.737|10.225|11.364|8464100
2012-03-01 00:00:00|11.209|11.78|10.505|10.842|4257100
2012-04-01 00:00:00|10.85|11.23|10.05|10.29|1448100
2012-05-01 00:00:00|10.29|10.399|7.351|7.41|4290100
2012-06-01 00:00:00|7.48|8.78|6.75|8.044|2580800
2012-07-01 00:00:00|8.001|8.47|7.5|7.998|1667500
2012-08-01 00:00:00|8.0|8.149|7.517|7.64|3170700
2012-09-01 00:00:00|7.592|8.436|7.496|8.3|4370400
2012-10-01 00:00:00|8.299|8.47|6.985|7.201|2259800
2012-11-01 00:00:00|7.17|7.486|6.515|6.714|1192200
2012-12-01 00:00:00|6.736|6.896|5.8|5.983|3381000
2013-01-01 00:00:00|6.16|6.989|6.04|6.47|4312400
2013-02-01 00:00:00|6.519|6.919|6.067|6.15|2017300
2013-03-01 00:00:00|6.112|6.199|5.004|5.172|2263500
2013-04-01 00:00:00|5.15|5.5|3.999|4.451|2486400
2013-05-01 00:00:00|4.487|4.97|3.7|3.711|1682900
2013-06-01 00:00:00|3.83|5.2|3.62|4.47|2686200
2013-07-01 00:00:00|4.201|4.95|4.036|4.235|1730900
2013-08-01 00:00:00|4.23|4.407|3.8|3.886|1736600
2013-09-01 00:00:00|3.991|4.102|3.609|3.613|4017100
2013-10-01 00:00:00|3.611|4.0|3.411|3.515|7406900
2013-11-01 00:00:00|3.53|3.68|2.224|2.545|6366100
2013-12-01 00:00:00|2.683|2.87|2.353|2.501|12062800
2014-01-01 00:00:00|2.481|2.752|2.44|2.598|7260400
2014-02-01 00:00:00|2.599|3.187|2.495|2.74|4222300
2014-03-01 00:00:00|2.647|3.256|2.341|3.07|3009300
2014-04-01 00:00:00|3.291|3.5|2.718|3.475|2808200
2014-05-01 00:00:00|3.173|3.777|3.036|3.445|3899500
2014-06-01 00:00:00|3.227|3.891|3.125|3.179|2966500
2014-06-01 00:00:00|3.612|3.612|3.18|3.31|259500
2014-07-01 00:00:00|3.2|3.22|2.75|2.899|1609700
2014-08-01 00:00:00|2.816|3.18|2.54|2.824|1951300
2014-09-01 00:00:00|2.855|3.025|2.554|2.845|2500200
2014-10-01 00:00:00|2.815|3.24|2.615|3.06|5767800
2014-11-01 00:00:00|2.955|5.34|2.93|5.2|18302900
2014-12-01 00:00:00|5.1|6.105|2.935|3.365|21248800
2015-01-01 00:00:00|3.065|4.0|3.065|3.995|10156100
2015-02-01 00:00:00|3.985|4.835|3.745|4.64|15127400
2015-03-01 00:00:00|4.685|5.485|3.6|4.095|15657500
2015-04-01 00:00:00|4.095|4.25|3.625|3.71|4771600
2015-05-01 00:00:00|3.695|4.065|3.425|3.805|3653200
2015-06-01 00:00:00|3.725|3.95|3.56|3.64|1523800
2015-07-01 00:00:00|3.655|4.07|3.45|3.93|2188300
2015-08-01 00:00:00|3.9|4.08|3.31|4.0|1576300
2015-09-01 00:00:00|3.95|4.19|3.53|3.66|2578900
2015-10-01 00:00:00|3.73|5.2|3.51|3.98|2225800
2015-11-01 00:00:00|4.02|4.35|3.72|3.95|4878400
2015-12-01 00:00:00|3.96|4.13|3.7|4.0|2031600
2016-01-01 00:00:00|4.0|5.99|3.65|3.97|32691900
2016-02-01 00:00:00|3.94|4.17|3.86|4.05|2054300
2016-03-01 00:00:00|4.04|4.84|3.98|4.48|4929500
2016-04-01 00:00:00|4.48|5.27|4.27|4.46|9834900
2016-05-01 00:00:00|4.47|4.59|3.95|4.43|2667000
2016-06-01 00:00:00|4.44|4.45|4.15|4.29|1298200
2016-07-01 00:00:00|4.26|4.77|3.96|4.5|4026200
2016-08-01 00:00:00|4.51|4.85|4.17|4.45|4030000
2016-09-01 00:00:00|4.48|5.6|4.43|4.57|8982300
2016-10-01 00:00:00|4.59|5.68|4.18|4.84|13671500
2016-11-01 00:00:00|4.85|5.8|4.66|5.05|12120400
2016-12-01 00:00:00|5.02|5.25|4.5|4.91|5771600
2017-01-01 00:00:00|4.9|4.95|4.42|4.72|3429700
2017-02-01 00:00:00|4.7|4.8|4.01|4.09|5379900
2017-03-01 00:00:00|4.1|4.21|3.6|3.68|3311000
2017-04-01 00:00:00|3.68|3.84|2.53|2.88|9059300
2017-05-01 00:00:00|2.88|2.94|2.46|2.72|3436300
2017-06-01 00:00:00|2.69|2.79|2.42|2.5|2945300
2017-07-01 00:00:00|2.48|3.28|2.48|2.9|3847500
2017-08-01 00:00:00|2.89|3.14|2.5|2.92|7543400
2017-09-01 00:00:00|2.93|3.24|2.79|3.06|2672600
2017-10-01 00:00:00|3.07|3.12|2.77|2.91|2995500
2017-11-01 00:00:00|2.88|3.03|2.68|2.75|1936200
2017-12-01 00:00:00|2.72|2.97|2.6|2.7|3126800
2018-01-01 00:00:00|2.68|3.69|2.63|2.9|9648600
2018-02-01 00:00:00|2.91|3.02|2.71|2.85|2727000
2018-03-01 00:00:00|2.82|3.0|2.77|2.84|2624000
2018-04-01 00:00:00|2.84|2.84|2.32|2.75|3053700
2018-05-01 00:00:00|2.75|2.8|2.62|2.66|1077000
2018-06-01 00:00:00|2.66|3.17|2.59|2.94|1993100
2018-07-01 00:00:00|2.95|3.26|2.74|2.88|4149100
2018-08-01 00:00:00|2.89|2.98|2.64|2.74|1358600
2018-09-01 00:00:00|2.76|2.89|2.66|2.76|1580700
2018-10-01 00:00:00|2.76|2.82|2.59|2.67|1528000
2018-11-01 00:00:00|2.69|2.855|2.595|2.735|2084500
2018-12-01 00:00:00|2.795|2.835|2.7|2.73|1146200
2019-01-01 00:00:00|2.745|3.1|2.68|2.93|2859100
2019-02-01 00:00:00|2.82|3.07|2.81|2.98|1181700
2019-03-01 00:00:00|2.99|3.77|2.945|3.425|7945600
2019-04-01 00:00:00|3.405|4.83|3.37|4.175|9912600
2019-05-01 00:00:00|4.132|4.252|3.582|3.802|2556800
2019-06-01 00:00:00|3.804|4.146|3.8|4.024|2376900
2019-07-01 00:00:00|4.06|4.28|3.844|4.112|2012400
2019-08-01 00:00:00|4.158|4.178|2.42|3.972|1450100
2019-09-01 00:00:00|4.056|4.16|3.7|3.756|1150400
2019-10-01 00:00:00|3.8|4.11|3.492|3.838|1974600
2019-11-01 00:00:00|3.84|4.2|3.832|3.99|2604900
2019-12-01 00:00:00|3.992|4.2|3.944|4.0|3622200
2020-01-01 00:00:00|3.998|4.25|3.85|3.92|1492200
2020-02-01 00:00:00|3.92|5.94|3.874|3.874|32193000
2020-03-01 00:00:00|4.006|5.2|3.2|3.968|6849100
2020-04-01 00:00:00|3.988|4.396|3.316|3.996|1791800
2020-05-01 00:00:00|3.99|4.688|3.87|4.02|2316500
2020-06-01 00:00:00|4.032|4.39|3.988|4.008|846600
2020-07-01 00:00:00|4.008|6.668|3.918|4.534|23199200
2020-08-01 00:00:00|4.594|4.646|4.25|4.404|2687700
2020-09-01 00:00:00|4.428|4.518|4.03|4.22|2296500
2020-10-01 00:00:00|4.154|4.544|4.0|4.166|3424300
2020-11-01 00:00:00|4.104|5.59|4.104|5.244|4456700
2020-12-01 00:00:00|5.152|5.9|4.79|5.278|4482100
2021-01-01 00:00:00|5.3|7.778|5.026|6.088|16981000
2021-02-01 00:00:00|6.15|6.884|5.9|6.008|5062700
